udise,school_name,block,cluster,setting,overall_pct,band,score_out_of_10,students_assessed,lat,lon
21150704701,GOVT UPS KORADA,Palalahada,BATISUAN,Rural,44.7,needs,4,19,21.26667,85.2
21150704801,GOVT PS KUMBHIBAHAL,Palalahada,BATISUAN,Rural,56.0,developing,6,8,21.26667,85.2
21150704901,GOVT PS PURUNAPANI,Palalahada,BATISUAN,Rural,85.2,excelling,9,17,21.26667,85.2
21150705101,GOVT PS RENGALI,Palalahada,BATISUAN,Rural,34.2,needs,3,8,21.26667,85.2
21150705201,Govt ups Tiribi,Palalahada,Sahargurujanga,Rural,54.2,developing,5,32,21.38548,85.13624
21150705302,GOVT UPS CHASAGURUJANG,Palalahada,CHASAGURUJANG UPS,Rural,55.7,developing,6,69,21.45042,85.08983
21150705303,GOVT PS NUASAHI,Palalahada,CHASAGURUJANG UPS,Rural,74.2,developing,7,14,21.45517,85.09167
21150705305,GOVT PS BHALUHULI,Palalahada,CHASAGURUJANG UPS,Rural,32.0,needs,3,5,21.44812,85.09978
21150705501,GOVT UPS SUSAB,Palalahada,CHASAGURUJANG UPS,Rural,66.8,developing,7,27,21.44997,85.12394
21150705601,GOVT UPS UDAYAPUR,Palalahada,CHASAGURUJANG UPS,Rural,77.3,excelling,8,16,21.44939,85.08283
21150705905,GOVT UPS DEBAHALI,Palalahada,GOVT PS INJIDI,Rural,55.9,developing,6,29,21.18304,85.31262
21150706001,"DIMIRIA GP.HS,GANDHINAGAR",Palalahada,Town Girls' UPS,Rural,54.6,developing,5,12,21.41478,85.15116
21150706002,Dimiria UPS,Palalahada,Town Girls' UPS,Rural,72.7,developing,7,17,21.4148,85.1516
21150706201,GOVT PS JHARABAHAL,Palalahada,BATISUAN,Rural,85.8,excelling,9,8,21.26667,85.2
21150706301,Jhimiripali PS,Palalahada,Town Girls' UPS,Rural,78.0,excelling,8,30,21.41827,85.16194
21150706302,Govt.Upper Primary School Jhimiripali,Palalahada,Town Girls' UPS,Rural,55.2,developing,6,24,21.41783,85.16343
21150706701,Govt PS Ranjana,Palalahada,Sahargurujanga,Rural,50.3,developing,5,6,21.39252,85.13366
21150706803,GOVT UPS RANJO,Palalahada,BATISUAN,Rural,62.2,developing,6,37,21.38333,85.15833
21150706901,GOVT PS BHEJIPADA,Palalahada,BATISUAN,Rural,60.8,developing,6,6,21.26667,85.2
21150707001,DEBAHALI SS,Palalahada,GOVT PS INJIDI,Rural,61.4,developing,6,18,21.18295,85.3127
21150707102,GOVT PS INJIDI,Palalahada,GOVT PS INJIDI,Rural,84.0,excelling,8,17,21.19542,85.29576
21150707103,GOVT UPS INJIDI,Palalahada,GOVT PS INJIDI,Rural,42.1,needs,4,34,21.1951,85.29617
21150707203,GOVT PS JAGANNATHPUR,Palalahada,GOVT PS INJIDI,Rural,54.7,developing,5,5,21.20759,85.28125
21150707301,GOVT PS KUKURIA,Palalahada,GOVT PS INJIDI,Rural,72.6,developing,7,7,21.19589,85.30477
21150707402,"Govt. ps, malarbeda",Palalahada,Chungamatia,Rural,54.5,developing,5,7,21.22093,85.3251
21150707701,GOVT PS RENGALMUNDA COLONY,Palalahada,GOVT PS INJIDI,Rural,60.0,developing,6,1,21.22396,85.31831
21150707703,RENGALMUNDA P UPS,Palalahada,GOVT PS INJIDI,Rural,63.6,developing,6,7,21.21477,85.31634
21150707801,GOVT UPS RAGHUNATHPUR,Palalahada,GOVT PS INJIDI,Rural,77.1,excelling,8,25,21.21575,85.24933
21150707901,GOVT UPS TILEIPASHI,Palalahada,GOVT PS INJIDI,Rural,60.6,developing,6,25,21.19292,85.28314
21150708101,Govt. Ps Dwibedy colony,Palalahada,HK Mahatab ups Iswaranagar,Rural,67.8,developing,7,3,21.44171,85.17937
21150708102,Govt. ps Mahantasahi,Palalahada,HK Mahatab ups Iswaranagar,Rural,53.8,developing,5,7,21.42466,85.17983
21150708201,Govt. ps Godapada,Palalahada,HK Mahatab ups Iswaranagar,Rural,69.6,developing,7,4,21.38338,85.24256
21150708203,Govt. ps Kansamunda,Palalahada,HK Mahatab ups Iswaranagar,Rural,71.3,developing,7,8,21.39739,85.23535
21150708301,Govt.UPS IIIisuan,Palalahada,HK Mahatab ups Iswaranagar,Rural,42.2,needs,4,26,21.43284,85.21419
21150708303,Govt. ps Radhasahi,Palalahada,HK Mahatab ups Iswaranagar,Rural,64.7,developing,6,6,21.44299,85.21462
21150708401,"H.K.Mahatab Govt.UPS,Iswarnagar",Palalahada,HK Mahatab ups Iswaranagar,Rural,65.5,developing,7,38,21.40446,85.22877
21150708501,Govt.ps Kerejanga,Palalahada,HK Mahatab ups Iswaranagar,Rural,58.9,developing,6,13,21.41624,85.23309
21150708571,Nabajyati UPS Kerejanga,Palalahada,HK Mahatab ups Iswaranagar,Rural,49.5,needs,5,97,21.41877,85.22172
21150708801,Malyagiri Govt High School,Palalahada,HK Mahatab ups Iswaranagar,Rural,74.8,developing,7,67,21.45051,85.21498
21150708802,Govt. ps Muktapur,Palalahada,HK Mahatab ups Iswaranagar,Rural,68.6,developing,7,8,21.44814,85.21554
21150709101,Govt. UPS Tampar,Palalahada,HK Mahatab ups Iswaranagar,Rural,63.4,developing,6,24,21.42288,85.218
21150709201,GOVT PS BARNAMUHAN,Palalahada,GOVT UPS JHARBEDA,Rural,40.0,needs,4,3,21.34823,85.32789
21150709301,GOVT PS BOITASAREI,Palalahada,GOVT UPS JHARBEDA,Rural,54.0,developing,5,4,21.31311,85.27238
21150709401,GOVT UPS JAMBUA,Palalahada,GOVT UPS JHARBEDA,Rural,53.1,developing,5,16,21.31509,85.28704
21150709501,GOVT PS JHARALO,Palalahada,GOVT UPS JHARBEDA,Rural,61.6,developing,6,2,21.36067,85.33224
21150709502,GOVT PS JHARALO KOLHASAHI,Palalahada,GOVT UPS JHARBEDA,Rural,33.9,needs,3,6,21.36611,85.32601
21150709602,GOVT UPS JHARBEDA,Palalahada,GOVT UPS JHARBEDA,Rural,52.2,developing,5,50,21.37793,85.32474
21150709604,GOVT PS RAIPAL RAIPAL JUANGASAHI,Palalahada,GOVT UPS JHARBEDA,Rural,55.0,developing,6,3,21.37875,85.32362
21150709801,GOVT PS KHULUDI,Palalahada,GOVT UPS JHARBEDA,Rural,40.6,needs,4,3,21.3745,85.30175
21150709901,GOVT UPS RAIPAL,Palalahada,GOVT UPS JHARBEDA,Rural,33.4,needs,3,20,21.33217,85.32132
21150710001,GOVT PS SUSHABNALI,Palalahada,KANTALA,Rural,67.8,developing,7,3,21.38575,85.32322
21150710101,GOVT PS TALABAHALI,Palalahada,GOVT UPS JHARBEDA,Rural,90.0,excelling,9,2,21.37009,85.31539
21150710301,GOVT UPS BANKHOL,Palalahada,Barkotia ups,Rural,64.9,developing,6,13,21.31609,85.1441
21150710302,Govt PS Dharipathar,Palalahada,Sahargurujanga,Rural,57.2,developing,6,3,21.349,85.11411
21150710401,Govt ups Bishnupur,Palalahada,Sahargurujanga,Rural,60.5,developing,6,15,21.34276,85.07882
21150710501,Govt PS Damodarpur,Palalahada,Sahargurujanga,Rural,72.8,developing,7,6,21.32905,85.13298
21150710601,Govt ups Gurundiamunda,Palalahada,Sahargurujanga,Rural,54.1,developing,5,33,21.36107,85.12287
21150710701,Govt PS Mahalasarua,Palalahada,Sahargurujanga,Rural,44.2,needs,4,10,21.38116,85.10224
21150710801,GOVT PS JAYAMAL,Palalahada,Barkotia ups,Rural,56.8,developing,6,18,21.30083,85.14745
21150710871,CBP HS JAYAMAL,Palalahada,Barkotia ups,Rural,65.3,developing,7,25,21.29896,85.15052
21150710901,Karadapal Ashram,Palalahada,Sahargurujanga,Rural,78.8,excelling,8,30,21.34866,85.15273
21150711001,Govt ups Mankadchua,Palalahada,Sahargurujanga,Rural,62.9,developing,6,5,21.36088,85.08164
21150711002,GOVT PS MANKADACHUA,Palalahada,GOVT.UGHS SEEGARH,Rural,68.8,developing,7,8,21.46616,85.18469
21150711101,Govt PS Munipalpur,Palalahada,Sahargurujanga,Rural,77.5,excelling,8,2,21.35688,85.12828
21150711201,Govt PS Nadijhari,Palalahada,Sahargurujanga,Rural,61.0,developing,6,5,21.32192,85.12562
21150711402,Govt ups Sahargurujanga,Palalahada,Sahargurujanga,Rural,49.9,needs,5,41,21.36665,85.10323
21150711601,GOVT PS CHINGUDIMUNDA COLONY,Palalahada,Govt UPS JENAPADA,Rural,84.7,excelling,8,6,21.2771,85.24143
21150711602,GOVT PS CHINGUDIMUNDA,Palalahada,Govt UPS JENAPADA,Rural,79.3,excelling,8,4,21.27374,85.2285
21150711801,GOVT UPS JENAPADA,Palalahada,Govt UPS JENAPADA,Rural,69.5,developing,7,33,21.2621,85.18599
21150712001,"Govt. Nodal UPS, Khamar",Palalahada,Govt UPS JENAPADA,Rural,80.7,excelling,8,41,,
21150712002,GOVT PS NAYAPALLISAHI,Palalahada,Govt UPS JENAPADA,Rural,53.8,developing,5,14,21.26976,85.19861
21150712053,SUBRINA BISWAL GHS KHAMAR,Palalahada,Govt UPS JENAPADA,Rural,81.5,excelling,8,44,21.26787,85.19686
21150712101,GOVT UPS KOCHIABEDA,Palalahada,Govt UPS JENAPADA,Rural,69.7,developing,7,24,21.2571,85.21985
21150712203,GOVT.UPS LUDUNG,Palalahada,Govt.UPS Munduribeda,Rural,58.8,developing,6,10,21.25691,85.23935
21150712601,GOVT PS NUTHURIPASI,Palalahada,Govt UPS JENAPADA,Rural,80.0,excelling,8,1,21.25528,85.19619
21150712701,GOVT UPS ODASH,Palalahada,Govt UPS JENAPADA,Rural,81.1,excelling,8,17,21.26635,85.20743
21150712751,GOVT AGHS ODASH,Palalahada,Govt UPS JENAPADA,Rural,61.6,developing,6,82,21.27239,85.20475
21150713001,GOVT PS SATYABANDHA,Palalahada,GOVT UPS KANTIAPASHI,Rural,91.6,excelling,9,1,21.24582,85.19984
21150713401,GOVT UPS BALIPASI,Palalahada,Barkotia ups,Rural,62.5,developing,6,46,21.3538,85.17602
21150713501,GOVT PS BANAR,Palalahada,Barkotia ups,Rural,58.9,developing,6,6,21.34198,85.17029
21150713601,GOVT UPS BARKOTIA,Palalahada,Barkotia ups,Rural,43.4,needs,4,26,21.30744,85.17683
21150713701,GOVT PS HATIBINDHA,Palalahada,Barkotia ups,Rural,69.1,developing,7,9,21.3234,85.16431
21150713801,KHEMALA NODAL UPS,Palalahada,Barkotia ups,Rural,60.4,developing,6,28,21.33648,85.17645
21150714001,GOVT UPS RENGALMUNDA,Palalahada,Barkotia ups,Rural,77.3,excelling,8,23,21.32954,85.1506
21150714101,GOVT PS ROHIRA,Palalahada,Barkotia ups,Rural,49.6,needs,5,16,21.3527,85.22678
21150714301,GOVT UPS CHHANCHUNIA,Palalahada,Govt ups kunjam,Rural,46.2,needs,5,23,21.22869,85.25063
21150714401,GOVT UPS DANGAPAL,Palalahada,Govt ups kunjam,Rural,56.9,developing,6,8,21.2223,85.23003
21150714501,GOVT PS KHOLAMUNDA,Palalahada,GOVT PS INJIDI,Rural,61.7,developing,6,1,21.19937,85.28852
21150714602,GOVT PS KUNJAM KOLHASAHI,Palalahada,GOVT PS INJIDI,Rural,45.8,needs,5,4,21.19964,85.2451
21150714603,Kunjam R.F PS,Palalahada,Govt ups kunjam,Rural,60.3,developing,6,5,21.20767,85.21495
21150714604,"Govt.UPS, Kunjam",Palalahada,Govt ups kunjam,Rural,66.2,developing,7,32,21.21079,85.24718
21150714901,GOVT UPS PRIYAMBADAPUR,Palalahada,GOVT PS INJIDI,Rural,44.5,needs,4,17,21.20343,85.26899
21150715102,GOVT.PS MUNDURIBEDA COLONY,Palalahada,Govt.UPS Munduribeda,Rural,66.7,developing,7,8,21.23916,85.27209
21150715103,GOVT.PS MUNDURIBEDA,Palalahada,Govt.UPS Munduribeda,Rural,54.8,developing,5,7,21.24658,85.24719
21150715104,GOVT.UPS MUNDURIBEDA,Palalahada,Govt.UPS Munduribeda,Rural,63.4,developing,6,12,21.24495,85.24591
21150715105,GOVT.PS GANDAMASANISAHI,Palalahada,Govt.UPS Munduribeda,Rural,50.8,developing,5,6,21.24522,85.25881
21150715201,GOVT PS Siarimalia Colony,Palalahada,Govt ups kunjam,Rural,54.4,developing,5,2,21.23554,85.23552
21150715202,GOVT UPS SIARIMALIA,Palalahada,Govt ups kunjam,Rural,51.7,developing,5,5,21.23288,85.23928
21150715251,BAPUJEE ASHRAM HIGH SCHOOL SIARIMALIA,Palalahada,Govt ups kunjam,Rural,70.0,developing,7,37,21.22952,85.23784
21150715301,GOVT UPS BALIBAHAL,Palalahada,Govt. UPS SIBIDA,Rural,48.3,needs,5,2,21.60825,85.26715
21150715401,GOVT PS BARADIHA,Palalahada,Govt. UPS SIBIDA,Rural,47.5,needs,5,4,21.64771,85.20169
21150715701,GOVT PS KADAMBINIPUR,Palalahada,Govt. UPS SIBIDA,Rural,29.3,needs,3,5,21.64732,85.25568
21150716001,GOVT UPS NAGIRA,Palalahada,Govt. UPS SIBIDA,Rural,57.2,developing,6,3,21.56574,85.29242
21150716002,GOVT PS KUMBHARMATI,Palalahada,Jagannath Govt HS Itee,Rural,73.0,developing,7,5,21.58069,85.26288
21150716202,GOVT PS RUGUDIDIHA,Palalahada,Govt. UPS SIBIDA,Rural,58.3,developing,6,4,21.53471,85.30117
21150716301,GOVT PS SALEI,Palalahada,Govt. UPS SIBIDA,Rural,37.8,needs,4,3,21.66605,85.25204
21150716401,GOVT PS SANDHAR,Palalahada,Govt. UPS SIBIDA,Rural,50.0,needs,5,1,21.64256,85.25101
21150716501,GOVT UPS SIBIDA,Palalahada,Govt. UPS SIBIDA,Rural,48.3,needs,5,6,21.62057,85.25107
21150716551,SIBIDA PVTG GIRLS HS,Palalahada,Govt. UPS SIBIDA,Rural,54.8,developing,5,97,21.62266,85.26214
21150716601,GOVT UPS TANUGOLA,Palalahada,Govt. UPS SIBIDA,Rural,61.9,developing,6,9,21.6193,85.19023
21150716701,GOVT PS BADIAHAL,Palalahada,KANTALA,Rural,66.1,developing,7,13,21.41438,85.28875
21150716901,GOVT PS CHHELIABEDA,Palalahada,KANTALA,Rural,50.3,developing,5,7,21.40454,85.29816
21150717102,GOVT UPS JAMARA SAHARASAHI,Palalahada,KANTALA,Rural,47.4,needs,5,9,21.42048,85.26948
21150717201,GOVT UPS KANTANALI,Palalahada,KANTALA,Rural,58.1,developing,6,24,21.40894,85.2818
21150717401,NAMAGAON SEVASHRAMA,Palalahada,KANTALA,Rural,83.7,excelling,8,20,21.42169,85.27442
21150717501,Namapasi Govt.UGHS,Palalahada,KANTALA,Rural,49.2,needs,5,36,,
21150717601,GOVT PS NUGUDA,Palalahada,KANTALA,Rural,68.0,developing,7,3,21.39342,85.29283
21150717902,GOVT. PS KAISIRIPALI,Palalahada,Town Girls' UPS,Rural,70.4,developing,7,4,21.44532,85.17697
21150718001,GOVT. UPPER PRIMARY SCHOOL MUCHURIGADIA,Palalahada,Town Girls' UPS,Rural,56.0,developing,6,19,21.43483,85.16597
21150718201,Mahatab HS,Palalahada,Town Girls' UPS,Rural,54.0,developing,5,92,21.43075,85.19026
21150718203,Town Girls UPS,Palalahada,Town Girls' UPS,Rural,91.7,excelling,9,7,21.43696,85.18277
21150718204,Town Model PS,Palalahada,Town Girls' UPS,Rural,74.5,developing,7,14,21.43004,85.1902
21150718205,Govt primary school udayapur colony ps,Palalahada,Town Girls' UPS,Rural,63.7,developing,6,10,21.43053,85.19594
21150718401,GOVT. UPPER PRIMARY SCHOOL SAMIAPALI,Palalahada,Town Girls' UPS,Rural,87.3,excelling,9,10,21.44247,85.18584
21150718601,GOVT PS BADABAGADARI,Palalahada,CHASAGURUJANG UPS,Rural,19.3,urgent,2,5,21.41922,85.01208
21150718701,GOVT PS HARIPUR,Palalahada,CHASAGURUJANG UPS,Rural,75.2,excelling,8,7,21.43987,85.05996
21150718801,GOVT UPS KANSAR,Palalahada,CHASAGURUJANG UPS,Rural,78.3,excelling,8,4,21.4286,85.05878
21150719201,GOVT PS PARAMUNDA,Palalahada,CHASAGURUJANG UPS,Rural,80.6,excelling,8,6,21.0,85.0
21150719301,GOVT UPS SANBAGADARI,Palalahada,CHASAGURUJANG UPS,Rural,63.3,developing,6,5,21.41369,85.02775
21150719501,PHS SIARIMALIA,Palalahada,CHASAGURUJANG UPS,Rural,53.8,developing,5,41,21.44192,85.0355
21150719502,GOVT UPS SIARIMALIA,Palalahada,CHASAGURUJANG UPS,Rural,57.6,developing,6,11,21.43625,85.02883
21150719802,"GOVT.PS,BHALUKI",Palalahada,GOVT UPS KANTIAPASHI,Rural,40.6,needs,4,3,21.2007,85.16264
21150719901,GOVT PS DANGAMANGA,Palalahada,GOVT UPS KANTIAPASHI,Rural,57.5,developing,6,4,21.20601,85.19337
21150720201,GOVT UPS KALANDA,Palalahada,GOVT UPS KANTIAPASHI,Rural,49.7,needs,5,6,21.23307,85.18383
21150720301,GOVERNMENT UP SCHOOL KANTIAPASHI,Palalahada,GOVT UPS KANTIAPASHI,Rural,77.2,excelling,8,10,21.21125,85.16713
21150720302,GOVT. P. S. KANTIAPASHI NUASAHI,Palalahada,GOVT UPS KANTIAPASHI,Rural,79.7,excelling,8,6,21.206,85.17386
21150720351,"PANCHAYAT UCHA BIDYAPITHA, KANTIAPASHI",Palalahada,GOVT UPS KANTIAPASHI,Rural,33.8,needs,3,37,21.21061,85.16696
21150720501,GOVT UPS PARACHHAT,Palalahada,GOVT UPS KANTIAPASHI,Rural,80.8,excelling,8,4,21.20567,85.15069
21150720502,GOVT UPS PATTATANGER,Palalahada,GOVT UPS KANTIAPASHI,Rural,71.2,developing,7,4,21.19612,85.16243
21150720702,GOVT UPS DUIPANI,Palalahada,Saida,Rural,52.6,developing,5,9,21.44252,85.18576
21150720802,GOVT UPS JOKAPANI,Palalahada,Saida,Rural,46.7,needs,5,3,21.44253,85.18597
21150721002,GOVT PS KALIAKUDAR,Palalahada,Saida,Rural,59.2,developing,6,4,21.45074,85.29866
21150721101,SGPHS LAXMIPRIYAPUR,Palalahada,Saida,Rural,64.7,developing,6,51,21.47023,85.28814
21150721102,GOVT PS SAIDA RF,Palalahada,Saida,Rural,43.9,needs,4,6,21.47033,85.28838
21150721301,GOVT UPS PECHAMUNDI,Palalahada,Saida,Rural,49.9,needs,5,12,21.46376,85.30143
21150721601,GOVT PS SIMILIPAL,Palalahada,Saida,Rural,66.7,developing,7,5,21.45602,85.28773
21150721701,GOVT UPS BADABALIPASI,Palalahada,Govt ups kunjam,Rural,72.5,developing,7,2,21.16082,85.23254
21150721801,GOVT PS BADAGUND,Palalahada,Govt ups kunjam,Rural,44.3,needs,4,7,21.15063,85.25377
21150722101,GOVT PS PAUNSIA,Palalahada,Govt ups kunjam,Rural,73.3,developing,7,3,21.19608,85.22954
21150722201,RAJDANG HIGH SCHOOL,Palalahada,Govt ups kunjam,Rural,57.1,developing,6,28,21.16976,85.23713
21150722202,GOVT UPS RAJDANG,Palalahada,Govt ups kunjam,Rural,69.1,developing,7,20,21.17436,85.23331
21150722401,"Govt. ups, benipathar",Palalahada,Chungamatia,Rural,73.7,developing,7,5,21.18445,85.3275
21150722501,"Govt. ps, bhojpur",Palalahada,Chungamatia,Rural,92.9,excelling,9,4,21.1789,85.38264
21150722601,"Govt. ps, bijagotha",Palalahada,Chungamatia,Rural,74.7,developing,7,5,21.17775,85.32551
21150722701,"Govt. ups, hansala",Palalahada,Chungamatia,Rural,76.3,excelling,8,5,21.22783,85.35363
21150722902,"Govt. ps, suabasa",Palalahada,Chungamatia,Rural,82.4,excelling,8,7,21.19728,85.36397
21150723001,"Govt. ups, magarmuhan",Palalahada,Chungamatia,Rural,62.7,developing,6,9,21.21267,85.35832
21150723101,"Govt. ups, rangiapal",Palalahada,Chungamatia,Rural,70.0,developing,7,27,21.17836,85.35769
21150723201,Govt. ups. chungamatia,Palalahada,Chungamatia,Rural,83.3,excelling,8,14,21.19478,85.33564
21150723251,"MKUB, ROHIL(HS)",Palalahada,Chungamatia,Rural,49.6,needs,5,59,21.19438,85.34367
21150723401,"Govt. ups, tandiberni",Palalahada,Chungamatia,Rural,61.1,developing,6,3,21.20682,85.36976
21150723501,GOVT PS ATANAKA,Palalahada,Saida,Rural,85.8,excelling,9,2,21.50415,85.26974
21150723601,NABAJYOTI PANCHAYAT HS DALO,Palalahada,KANTALA,Rural,57.5,developing,6,38,21.46699,85.26502
21150723602,GOVT PECHAMUNDI NODAL UPS DALO,Palalahada,KANTALA,Rural,76.4,excelling,8,8,21.46751,85.264
21150723701,GOVT PS JAMUDIHI,Palalahada,Saida,Rural,74.0,developing,7,5,21.52598,85.29929
21150723801,GOVT UPS JOLANDA,Palalahada,Saida,Rural,81.9,excelling,8,6,21.5154,85.28646
21150724001,GOVT UPS KANTALA,Palalahada,KANTALA,Rural,61.5,developing,6,12,21.44761,85.25026
21150724301,GOVT UPS SAIDA,Palalahada,Saida,Rural,70.5,developing,7,7,21.4825,85.27397
21150724501,Govt PS Baidehipur,Palalahada,"LNGHS, Sankhamur",Rural,63.8,developing,6,7,21.24954,85.17666
21150724701,Govt UPS Besalia,Palalahada,"LNGHS, Sankhamur",Rural,77.4,excelling,8,9,21.24596,85.12133
21150724901,Govt UPS Garadamunda,Palalahada,"LNGHS, Sankhamur",Rural,75.8,excelling,8,2,21.27246,85.16203
21150725101,Govt UPS Jharkilinda,Palalahada,"LNGHS, Sankhamur",Rural,76.7,excelling,8,7,21.27138,85.10351
21150725201,Govt PS Khandabeda,Palalahada,"LNGHS, Sankhamur",Rural,65.6,developing,7,7,21.27256,85.15277
21150725401,Govt UPS Panihara,Palalahada,"LNGHS, Sankhamur",Rural,74.8,developing,7,5,21.24847,85.15479
21150725801,Govt UPS Ranja,Palalahada,"LNGHS, Sankhamur",Rural,59.7,developing,6,18,21.28112,85.15168
21150725802,Govt UPS Ranjankolhasahi,Palalahada,"LNGHS, Sankhamur",Rural,53.9,developing,5,3,21.27837,85.13449
21150725901,"LNGHS, SANKHAMUR",Palalahada,"LNGHS, Sankhamur",Rural,70.2,developing,7,78,21.25779,85.16408
21150725902,Govt PS Sankhamur,Palalahada,"LNGHS, Sankhamur",Rural,73.8,developing,7,20,21.25897,85.15262
21150725904,Govt PS Patamura,Palalahada,"LNGHS, Sankhamur",Rural,63.2,developing,6,14,21.26297,85.16009
21150726201,KAMPARKALA A.S,Palalahada,GOVT.UGHS SEEGARH,Rural,69.9,developing,7,33,21.46433,85.23122
21150726301,GOVT PS KARADAPAL,Palalahada,GOVT.UGHS SEEGARH,Rural,58.3,developing,6,2,21.46933,85.25368
21150726401,GOVT UPS KOLIPAL,Palalahada,GOVT.UGHS SEEGARH,Rural,70.4,developing,7,15,21.46057,85.21616
21150726601,NAIKANIPALI A.S,Palalahada,GOVT.UGHS SEEGARH,Rural,76.5,excelling,8,85,21.45991,85.18063
21150726701,GOVT PS NANDINIPALI,Palalahada,GOVT.UGHS SEEGARH,Rural,62.2,developing,6,12,21.45922,85.2018
21150726702,GOVT UGHS SEEGARH,Palalahada,GOVT.UGHS SEEGARH,Rural,68.0,developing,7,60,21.45375,85.19501
21150726801,GOVT PS TIMI,Palalahada,GOVT.UGHS SEEGARH,Rural,58.1,developing,6,8,21.48116,85.23217
21150727201,GOVT PS BALIM,Palalahada,BATISUAN,Rural,67.8,developing,7,3,21.39528,85.21222
21150800101,BADAJORADA NUPS,Talachera,BADAJORADA NUPS,Rural,66.7,developing,7,39,20.92064,85.11733
21150800201,Badasinghada UPS,Talachera,BADAJORADA NUPS,Rural,68.3,developing,7,9,20.92091,85.13561
21150800252,BHARATPUR HS,Talachera,BADAJORADA NUPS,Rural,61.9,developing,6,15,20.92097,85.13279
21150801201,BALHAR PS,Talachera,Sri Jagannath NHS,Rural,86.7,excelling,9,10,20.9258,85.22352
21150801301,BANGU PUPS,Talachera,Sri Jagannath NHS,Rural,88.3,excelling,9,3,20.90986,85.21806
21150801401,Tarun Nodal UPS,Talachera,DEULABEDA COLLIERY MODEL NODAL HIGH SCHOOL,Rural,53.5,developing,5,37,20.92562,85.20629
21150801701,KUKUDULA HS,Talachera,Sri Jagannath NHS,Rural,68.1,developing,7,18,20.92772,85.21871
21150801702,KUKUDULA UPS,Talachera,Sri Jagannath NHS,Rural,80.9,excelling,8,18,20.92683,85.21353
21150802101,Belpada PS,Talachera,Brajanathpur UPS,Rural,72.2,developing,7,9,21.03262,85.17786
21150802301,Brajanathpur UPS,Talachera,Brajanathpur UPS,Rural,58.6,developing,6,46,20.92922,85.17318
21150802701,Luhundi PS,Talachera,Brajanathpur UPS,Rural,48.1,needs,5,4,21.01792,85.17907
21150802801,Radharamanpur PS,Talachera,Brajanathpur UPS,Rural,74.0,developing,7,7,21.00966,85.17745
21150802901,Raghunathpur PS,Talachera,Brajanathpur UPS,Rural,70.7,developing,7,5,20.99009,85.14801
21150803501,DANARA NHS,Talachera,BADAJORADA NUPS,Rural,58.4,developing,6,27,20.93645,85.10282
21150803504,Kalapat PS,Talachera,Kalapat pups,Rural,73.6,developing,7,6,20.95673,85.11139
21150803701,Jamubahali PS,Talachera,BADAJORADA NUPS,Rural,66.5,developing,7,9,20.94187,85.12395
21150804101,LAKEIPASI PROJECT UPS,Talachera,Kalapat pups,Rural,57.3,developing,6,6,20.88801,85.15072
21150804301,Balanda NUPS,Talachera,Ghantapada NHS,Rural,67.3,developing,7,16,20.94556,85.19053
21150804601,"Colliery HS ,Dera",Talachera,Ghantapada NHS,Rural,36.2,needs,4,57,20.94572,85.17568
21150804602,Dera PUPS,Talachera,Ghantapada NHS,Rural,35.5,needs,4,11,20.94857,85.16536
21150805301,Biharipur PUPS,Talachera,Biharipur PUPS,Rural,44.0,needs,4,44,20.97078,85.2367
21150805501,Dharampur UPS,Talachera,Biharipur PUPS,Rural,42.3,needs,4,27,21.00102,85.22098
21150805551,Dharampur HS,Talachera,Biharipur PUPS,Rural,44.4,needs,4,29,20.99982,85.22034
21150805601,Jandabahal PS,Talachera,Biharipur PUPS,Rural,84.8,excelling,8,9,21.00167,85.20155
21150806101,Scotlandpur PS,Talachera,Biharipur PUPS,Rural,43.3,needs,4,16,20.98498,85.21959
21150806401,Baghamarasahi PS,Talachera,Ghantapada NHS,Rural,19.1,urgent,2,9,20.93011,85.17143
21150806403,Chalagarh PS,Talachera,Ghantapada NHS,Rural,56.3,developing,6,16,20.92869,85.1871
21150806404,Chatiahatting PPS,Talachera,Gobara NHS,Rural,59.8,developing,6,17,20.88423,85.15948
21150806406,Ghantapada NHS,Talachera,Ghantapada NHS,Rural,45.1,needs,5,62,20.93496,85.18285
21150806701,Gobara NHS,Talachera,Gobara NHS,Rural,51.9,developing,5,47,20.9115,85.14623
21150806703,Gurudwar PS,Talachera,Gobara NHS,Rural,43.3,needs,4,7,20.9103,85.15275
21150806704,Majhidhipsahi PS,Talachera,BADAJORADA NUPS,Rural,69.6,developing,7,19,20.91189,85.14645
21150806801,Karadapali PUPS,Talachera,Gobara NHS,Rural,58.2,developing,6,23,20.91751,85.156
21150807201,BAGHABASPUR PPS,Talachera,Kalamachhuin UPS,Rural,95.8,excelling,10,6,20.99828,85.04681
21150807401,BANABASPUR PUPS,Talachera,Kalamachhuin UPS,Rural,66.0,developing,7,17,20.98842,85.04452
21150807601,Gopalprasad NHS,Talachera,Gopalprasad NHS,Rural,36.4,needs,4,60,20.97456,85.03063
21150807801,KUSUMPAL PUPS,Talachera,Kalamachhuin UPS,Rural,76.6,excelling,8,19,20.95497,85.02364
21150808303,Gurujang Nuasahi PUPS,Talachera,Brajanathpur UPS,Rural,61.7,developing,6,42,21.01703,85.19398
21150808304,Gurujang Saharsahi PS,Talachera,Brajanathpur UPS,Rural,22.5,urgent,2,4,21.0202,85.19951
